  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2     144    agrl            0.000
     1     2     144    agrl            0.000
     1     2     145    agrl         1018.949
     1     2     145    agrl            0.000
     1     2     145    agrl            0.000
     1     2     146    agrl          971.808
     1     2     146    agrl            0.000
     1     2     146    agrl            0.000
     1     2     147    agrl          800.346
     1     2     147    agrl            0.000
     1     2     147    agrl            0.000
     1     2     148    agrl         1001.099
     1     2     148    agrl            0.000
     1     2     148    agrl            0.000
     1     2     149    agrl         4012.304
     1     2     150    agrl         4013.064
     1     2     151    agrl         4011.546
     1     2     152    agrl         4014.049
     1     2     153    agrl         4014.375
     1     2     154    agrl         4011.696
     1     2     155    agrl         1167.083
     1     2     156    agrl         1078.033
     1     2     157    agrl         1155.863
     1     2     158    agrl         1269.136
     1     2     159    agrl         1109.621
     1     2     160    agrl         1244.565
     1     2     161    agrl         1140.702
     1     2     162    agrl         4551.144
     1     2     163    agrl         4385.605
     1     2     164    agrl         4460.433
     1     2     165    agrl         4476.329
     1     2     166    agrl         4397.013
     1     2     167    agrl         1167.114
     1     2     168    agrl         1078.000
     1     2     169    agrl         1153.943
     1     2     170    agrl         1269.017
     1     2     171    agrl         1244.604
     1     2     172    agrl         1138.687
     1     2     173    agrl           68.495
     1     2     174    agrl         4958.493
     1     2     175    agrl         4999.859
     1     2     176    agrl         4921.598
     1     2     177    agrl         4927.029
     1     2     178    agrl         4846.511
     1     2     179    agrl          997.040
     1     2     179    agrl            0.000
     1     2     179    agrl            0.000
     1     2     180    agrl         1189.586
     1     2     180    agrl            0.000
     1     2     180    agrl            0.000
     1     2     181    agrl         1137.474
     1     2     181    agrl            0.000
     1     2     181    agrl            0.000
     1     2     182    agrl         1019.487
     1     2     182    agrl            0.000
     1     2     182    agrl            0.000
     1     2     183    agrl         1001.301
     1     2     183    agrl            0.000
     1     2     183    agrl            0.000
     1     2     184    agrl         4011.653
     1     2     185    agrl         4014.038
     1     2     186    agrl         4014.358
     1     2     187    agrl         4011.717
     1     2     188    agrl         1154.913
     1     2     189    agrl         1268.825
     1     2     190    agrl         1244.657
     1     2     191    agrl         1139.365
     1     2     192    agrl         4461.018
     1     2     193    agrl         4476.742
     1     2     194    agrl         4400.773
     1     2     195    agrl         1077.628
     1     2     196    agrl         1152.593
     1     2     197    agrl         1268.165
     1     2     198    agrl         1138.604
     1     2     199    agrl           68.500
     1     2     200    agrl         4921.160
     1     2     201    agrl         4843.854
     1     2     202    agrl         1264.071
     1     2     202    agrl            0.000
     1     2     202    agrl            0.000
     1     2     203    agrl          805.052
     1     2     203    agrl            0.000
     1     2     203    agrl            0.000
     1     2     204    agrl          801.864
     1     2     204    agrl            0.000
     1     2     204    agrl            0.000
     1     2     205    agrl         1137.642
     1     2     205    agrl            0.000
     1     2     205    agrl            0.000
     1     2     206    agrl          971.796
     1     2     206    agrl            0.000
     1     2     206    agrl            0.000
     1     2     207    agrl         1039.579
     1     2     207    agrl            0.000
     1     2     207    agrl            0.000
     1     2     208    agrl         1185.307
     1     2     208    agrl            0.000
     1     2     208    agrl            0.000
     1     2     209    agrl         4012.336
     1     2     210    agrl         4013.066
     1     2     211    agrl         4011.605
     1     2     212    agrl         4014.052
     1     2     213    agrl         4014.379
     1     2     214    agrl         4011.699
     1     2     215    agrl         1052.145
     1     2     216    agrl         1167.111
     1     2     217    agrl         1078.648
     1     2     218    agrl         1156.083
     1     2     219    agrl         1267.229
     1     2     220    agrl         1243.447
     1     2     221    agrl         1157.412
     1     2     222    agrl         1139.392
     1     2     223    agrl         4495.865
     1     2     224    agrl         4395.582
     1     2     225    agrl         4461.991
     1     2     226    agrl         4476.816
     1     2     227    agrl         4397.396
     1     2     228    agrl         1053.456
     1     2     229    agrl         1167.074
     1     2     230    agrl         1077.919
     1     2     231    agrl         1151.809
     1     2     232    agrl         1269.750
     1     2     233    agrl         1243.990
     1     2     234    agrl         1157.584
     1     2     235    agrl         1139.162
     1     2     236    agrl           68.511
     1     2     237    agrl         4958.568
     1     2     238    agrl         4869.044
     1     2     239    agrl         4921.226
     1     2     240    agrl         4928.566
     1     2     241    agrl         4850.872
     1     2     242    agrl         4848.361
     1     2     243    agrl          996.952
     1     2     243    agrl            0.000
     1     2     243    agrl            0.000
     1     2     244    agrl          957.250
     1     2     244    agrl            0.000
     1     2     244    agrl            0.000
     1     2     245    agrl          800.310
     1     2     245    agrl            0.000
     1     2     245    agrl            0.000
     1     2     246    agrl          801.326
     1     2     246    agrl            0.000
     1     2     246    agrl            0.000
     1     2     247    agrl         4013.089
     1     2     248    agrl         4011.664
     1     2     249    agrl         4014.060
     1     2     250    agrl         4011.723
     1     2     251    agrl         4011.695
     1     2     252    agrl         1167.421
     1     2     253    agrl         1078.190
     1     2     254    agrl         1269.152
     1     2     255    agrl         1158.706
     1     2     256    agrl         1139.362
     1     2     257    agrl         4495.813
     1     2     258    agrl         4550.780
     1     2     259    agrl         4392.063
     1     2     260    agrl         4461.248
     1     2     261    agrl         4394.367
     1     2     262    agrl         4400.853
     1     2     263    agrl         1078.106
     1     2     264    agrl         1151.895
     1     2     265    agrl         1268.577
     1     2     266    agrl         1139.157
     1     2     267    agrl           68.470
     1     2     268    agrl         4999.810
     1     2     269    agrl         4921.319
     1     2     270    agrl         4853.127
     1     2     271    agrl         4851.180
     1     2     272    agrl         1182.681
     1     2     272    agrl            0.000
     1     2     272    agrl            0.000
     1     2     273    agrl         1002.596
     1     2     273    agrl            0.000
     1     2     273    agrl            0.000
     1     2     274    agrl         1028.040
     1     2     274    agrl            0.000
     1     2     274    agrl            0.000
     1     2     275    agrl         1184.878
     1     2     275    agrl            0.000
     1     2     275    agrl            0.000
     1     2     276    agrl         4013.110
     1     2     277    agrl         4014.042
     1     2     278    agrl         4011.722
     1     2     279    agrl         1167.451
     1     2     280    agrl         1078.257
     1     2     281    agrl         1153.498
     1     2     282    agrl         1269.118
     1     2     283    agrl         1139.052
     1     2     284    agrl         4392.040
     1     2     285    agrl         4460.753
     1     2     286    agrl         4398.757
     1     2     287    agrl         1078.372
     1     2     288    agrl         1269.489
     1     2     289    agrl         1139.968
     1     2     290    agrl           68.480
     1     2     291    agrl         4958.353
     1     2     292    agrl         4922.342
     1     2     293    agrl         4846.711
     1     2     294    agrl         1071.065
     1     2     294    agrl            0.000
     1     2     294    agrl            0.000
     1     2     295    agrl         1189.509
     1     2     295    agrl            0.000
     1     2     295    agrl            0.000
     1     2     296    agrl         1137.487
     1     2     296    agrl            0.000
     1     2     296    agrl            0.000
     1     2     297    agrl          810.134
     1     2     297    agrl            0.000
     1     2     297    agrl            0.000
     1     2     298    agrl          801.215
     1     2     298    agrl            0.000
     1     2     298    agrl            0.000
     1     2     299    agrl         4011.666
     1     2     300    agrl         4014.050
     1     2     301    agrl         4014.386
     1     2     302    agrl         4011.771
     1     2     303    agrl         4011.699
     1     2     304    agrl         1050.699
     1     2     305    agrl         1268.722
     1     2     306    agrl         1158.537
     1     2     307    agrl         1138.594
     1     2     308    agrl         4551.155
     1     2     309    agrl         4392.409
     1     2     310    agrl         4461.722
     1     2     311    agrl         4509.066
     1     2     312    agrl         4386.558
     1     2     313    agrl         4400.609
     1     2     314    agrl         1078.061
     1     2     315    agrl         1268.371
     1     2     316    agrl         1156.618
     1     2     317    agrl         1138.998
     1     2     318    agrl           68.480
     1     2     319    agrl         4999.232
     1     2     320    agrl         4871.625
     1     2     321    agrl         4920.852
     1     2     322    agrl         1189.503
     1     2     322    agrl            0.000
     1     2     322    agrl            0.000
     1     2     323    agrl         1137.488
     1     2     323    agrl            0.000
     1     2     323    agrl            0.000
     1     2     324    agrl         1156.920
     1     2     324    agrl            0.000
     1     2     324    agrl            0.000
     1     2     325    agrl         1003.423
     1     2     325    agrl            0.000
     1     2     325    agrl            0.000
     1     2     326    agrl          801.000
     1     2     326    agrl            0.000
     1     2     326    agrl            0.000
     1     2     327    agrl         4013.109
     1     2     328    agrl         4011.555
     1     2     329    agrl         4014.025
     1     2     330    agrl         4014.361
     1     2     331    agrl         4011.743
     1     2     332    agrl         4011.641
     1     2     333    agrl         1077.968
     1     2     334    agrl         1154.561
     1     2     335    agrl         1270.048
     1     2     336    agrl         1244.889
     1     2     337    agrl         1156.623
     1     2     338    agrl         1139.469
     1     2     339    agrl         4388.007
     1     2     340    agrl         1078.063
     1     2     341    agrl         1151.694
     1     2     342    agrl         1269.314
     1     2     343    agrl         1243.593
     1     2     344    agrl         1157.548
     1     2     345    agrl         1138.749
     1     2     346    agrl           68.487
     1     2     347    agrl         4866.678
     1     2     348    agrl         4921.460
     1     2     349    agrl         4927.848
     1     2     350    agrl         4853.904
     1     2     351    agrl         4848.290
     1     2     352    agrl         1036.785
     1     2     352    agrl            0.000
     1     2     352    agrl            0.000
     1     2     353    agrl         1137.384
     1     2     353    agrl            0.000
     1     2     353    agrl            0.000
     1     2     354    agrl         1019.337
     1     2     354    agrl            0.000
     1     2     354    agrl            0.000
     1     2     355    agrl         1038.679
     1     2     355    agrl            0.000
     1     2     355    agrl            0.000
     1     2     356    agrl         1037.246
     1     2     356    agrl            0.000
     1     2     356    agrl            0.000
     1     2     357    agrl         4011.555
     1     2     358    agrl         4014.023
     1     2     359    agrl         4014.357
     1     2     360    agrl         4011.634
     1     2     361    agrl         4011.736
     1     2     362    agrl         1153.361
     1     2     363    agrl         1269.715
     1     2     364    agrl         1245.086
     1     2     365    agrl         1139.880
     1     2     366    agrl         4551.042
     1     2     367    agrl         4391.395
     1     2     368    agrl         4460.601
     1     2     369    agrl         4476.572
     1     2     370    agrl         4387.271
     1     2     371    agrl         4399.490
     1     2     372    agrl         1153.982
     1     2     373    agrl         1270.707
     1     2     374    agrl         1244.276
     1     2     375    agrl         1158.378
     1     2     376    agrl         1138.222
     1     2     377    agrl           68.482
     1     2     378    agrl         4999.830
     1     2     379    agrl         4864.346
     1     2     380    agrl         4919.387
     1     2     381    agrl         4854.969
     1     2     382    agrl         4849.841
     1     2     383    agrl         1069.753
     1     2     383    agrl            0.000
     1     2     383    agrl            0.000
     1     2     384    agrl         1182.809
     1     2     384    agrl            0.000
     1     2     384    agrl            0.000
     1     2     385    agrl         1032.660
     1     2     385    agrl            0.000
     1     2     385    agrl            0.000
     1     2     386    agrl          801.874
     1     2     386    agrl            0.000
     1     2     386    agrl            0.000
     1     2     387    agrl          957.252
     1     2     387    agrl            0.000
     1     2     387    agrl            0.000
     1     2     388    agrl         1208.736
     1     2     388    agrl            0.000
     1     2     388    agrl            0.000
     1     2     389    agrl         1156.983
     1     2     389    agrl            0.000
     1     2     389    agrl            0.000
     1     2     390    agrl         1190.473
     1     2     390    agrl            0.000
     1     2     390    agrl            0.000
     1     2     391    agrl         1185.620
     1     2     391    agrl            0.000
     1     2     391    agrl            0.000
     1     2     392    agrl          815.083
     1     2     392    agrl            0.000
     1     2     392    agrl            0.000
     1     2     393    agrl         4012.319
     1     2     394    agrl         4013.138
     1     2     395    agrl         4011.597
     1     2     396    agrl         4014.045
     1     2     397    agrl         4011.983
     1     2     398    agrl         4014.346
     1     2     399    agrl         4011.751
     1     2     400    agrl         4011.709
     1     2     401    agrl         1167.037
     1     2     402    agrl         1077.646
     1     2     403    agrl         1152.247
     1     2     404    agrl         1266.709
     1     2     405    agrl         1109.125
     1     2     406    agrl         1157.164
     1     2     407    agrl         1138.795
     1     2     408    agrl         4495.420
     1     2     409    agrl         4551.639
     1     2     410    agrl         4395.652
     1     2     411    agrl         4461.258
     1     2     412    agrl         4508.519
     1     2     413    agrl         4476.514
     1     2     414    agrl         4384.840
     1     2     415    agrl         4398.086
     1     2     416    agrl         1166.911
     1     2     417    agrl         1077.516
     1     2     418    agrl         1151.413
     1     2     419    agrl         1268.016
     1     2     420    agrl         1243.991
     1     2     421    agrl         1156.747
     1     2     422    agrl         1137.575
     1     2     423    agrl         1076.567
     1     2     424    agrl           68.519
     1     2     425    agrl         4958.522
     1     2     426    agrl         5000.227
     1     2     427    agrl         4867.961
     1     2     428    agrl         4921.773
     1     2     429    agrl         4967.411
     1     2     430    agrl         4854.384
     1     2     431    agrl         4852.369
     1     2     432    agrl         1042.232
     1     2     432    agrl            0.000
     1     2     432    agrl            0.000
     1     2     433    agrl         1036.986
     1     2     433    agrl            0.000
     1     2     433    agrl            0.000
     1     2     434    agrl          799.560
     1     2     434    agrl            0.000
     1     2     434    agrl            0.000
     1     2     435    agrl          810.119
     1     2     435    agrl            0.000
     1     2     435    agrl            0.000
     1     2     436    agrl         1157.164
     1     2     436    agrl            0.000
     1     2     436    agrl            0.000
     1     2     437    agrl         4011.762
     1     2     438    agrl         4014.055
     1     2     439    agrl         4012.023
     1     2     440    agrl         4014.391
     1     2     441    agrl         1152.953
     1     2     442    agrl         1270.473
     1     2     443    agrl         1109.491
     1     2     444    agrl         4394.090
     1     2     445    agrl         4461.445
     1     2     446    agrl         4508.866
     1     2     447    agrl         4476.994
     1     2     448    agrl         1151.511
     1     2     449    agrl         1266.429
     1     2     450    agrl         1109.407
     1     2     451    agrl           68.500
     1     2     452    agrl         4871.447
     1     2     453    agrl         4920.719
     1     2     454    agrl         1083.926
     1     2     454    agrl            0.000
     1     2     454    agrl            0.000
     1     2     455    agrl         1089.758
     1     2     455    agrl            0.000
     1     2     455    agrl            0.000
     1     2     456    agrl         1070.010
     1     2     456    agrl            0.000
     1     2     456    agrl            0.000
     1     2     457    agrl         1002.670
     1     2     457    agrl            0.000
     1     2     457    agrl            0.000
     1     2     458    agrl          957.365
     1     2     458    agrl            0.000
     1     2     458    agrl            0.000
     1     2     459    agrl         1053.239
     1     2     459    agrl            0.000
     1     2     459    agrl            0.000
     1     2     460    agrl         1184.495
     1     2     460    agrl            0.000
     1     2     460    agrl            0.000
     1     2     461    agrl         4012.476
     1     2     462    agrl         4012.618
     1     2     463    agrl         4012.299
     1     2     464    agrl         4013.066
     1     2     465    agrl         4011.653
     1     2     466    agrl         4014.015
     1     2     467    agrl         4011.987
     1     2     468    agrl         4011.677
     1     2     469    agrl         1053.921
     1     2     470    agrl         1167.339
     1     2     471    agrl         1077.745
     1     2     472    agrl         1273.438
     1     2     473    agrl         1109.396
     1     2     474    agrl         1246.032
     1     2     475    agrl         1139.299
     1     2     476    agrl         4422.666
     1     2     477    agrl         4462.994
     1     2     478    agrl         4494.545
     1     2     479    agrl         4551.040
     1     2     480    agrl         4459.562
     1     2     481    agrl         4476.597
     1     2     482    agrl         4397.164
     1     2     483    agrl         1090.155
     1     2     484    agrl         1050.104
     1     2     485    agrl         1077.419
     1     2     486    agrl         1244.687
     1     2     487    agrl         1140.927
     1     2     488    agrl         4856.312
     1     2     489    agrl         4900.483
     1     2     490    agrl         4958.583
     1     2     491    agrl         5000.023
     1     2     492    agrl         4865.639
     1     2     493    agrl         4921.064
     1     2     494    agrl         4927.859
     1     2     495    agrl         4847.212
     1     2     496    agrl          996.936
     1     2     496    agrl            0.000
     1     2     496    agrl            0.000
     1     2     497    agrl         1002.508
     1     2     497    agrl            0.000
     1     2     497    agrl            0.000
     1     2     498    agrl         1137.522
     1     2     498    agrl            0.000
     1     2     498    agrl            0.000
     1     2     499    agrl         1039.647
     1     2     499    agrl            0.000
     1     2     499    agrl            0.000
     1     2     500    agrl         1184.156
     1     2     500    agrl            0.000
     1     2     500    agrl            0.000
     1     2     501    agrl         4014.057
     1     2     502    agrl         4011.671
     1     2     503    agrl         1167.422
     1     2     504    agrl         1078.188
     1     2     505    agrl         1152.439
     1     2     506    agrl         1268.054
     1     2     507    agrl         1139.175
     1     2     508    agrl         4495.495
     1     2     509    agrl         4551.219
     1     2     510    agrl         4391.657
     1     2     511    agrl         4461.206
     1     2     512    agrl         4383.532
     1     2     513    agrl         4399.576
     1     2     514    agrl         1167.461
     1     2     515    agrl         1266.982
     1     2     516    agrl         1156.366
     1     2     517    agrl         1139.158
     1     2     518    agrl           68.471
     1     2     519    agrl         4921.871
     1     2     520    agrl          801.850
     1     2     520    agrl            0.000
     1     2     520    agrl            0.000
     1     2     521    agrl          799.573
     1     2     521    agrl            0.000
     1     2     521    agrl            0.000
     1     2     522    agrl         4011.672
     1     2     523    agrl         4014.059
     1     2     524    agrl         4014.369
     1     2     525    agrl         4011.558
     1     2     526    agrl         4011.716
     1     2     527    agrl         1268.576
     1     2     528    agrl         1139.099
     1     2     529    agrl         4393.155
     1     2     530    agrl         4461.383
     1     2     531    agrl         4476.438
     1     2     532    agrl         4392.075
     1     2     533    agrl         4399.062
     1     2     534    agrl         1268.158
     1     2     535    agrl         1159.421
     1     2     536    agrl         1137.955
     1     2     537    agrl           68.486
     1     2     538    agrl         4871.263
     1     2     539    agrl         4921.085
     1     2     540    agrl         4842.980
     1     2     541    agrl          805.031
     1     2     541    agrl            0.000
     1     2     541    agrl            0.000
     1     2     542    agrl          815.398
