  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2     290    agrl          143.841
     1     2     291    agrl          157.047
     1     2     292    agrl          169.933
     1     2     293    agrl          146.488
     1     2     294    agrl          182.795
     1     2     299    agrl          178.207
     1     2     300    agrl          180.508
     1     2     301    agrl          176.061
     1     2     302    agrl          171.016
     1     2     303    agrl          190.047
     1     2     307    agrl          178.255
     1     2     308    agrl          176.061
     1     2     309    agrl          154.290
     1     2     310    agrl          207.302
     1     2     311    agrl          186.387
     1     2     312    agrl          181.678
     1     2     313    agrl          157.059
     1     2     314    agrl          161.144
     1     2     315    agrl          180.534
     1     2     316    agrl          170.017
     1     2     317    agrl          172.167
     1     2     318    agrl          156.107
     1     2     319    agrl          159.560
     1     2     320    agrl          175.221
     1     2     321    agrl          179.402
     1     2     322    agrl          190.078
     1     2     323    agrl          171.132
     1     2     324    agrl          172.189
     1     2     325    agrl          161.947
     1     2     326    agrl          176.119
     1     2     327    agrl          163.665
     1     2     328    agrl          182.848
     1     2     329    agrl          185.196
     1     2     330    agrl          165.752
     1     2     331    agrl          172.189
     1     2     332    agrl          175.159
     1     2     333    agrl          170.022
     1     2     334    agrl          158.074
     1     2     335    agrl          186.405
     1     2     336    agrl          182.839
     1     2     337    agrl          181.648
     1     2     338    agrl          171.048
     1     2     339    agrl          179.420
     1     2     340    agrl          167.859
     1     2     357    agrl          182.818
     1     2     358    agrl          176.093
     1     2     359    agrl          164.642
     1     2     360    agrl          146.530
     1     2     361    agrl          182.811
     1     2     362    agrl          177.161
     1     2     363    agrl          171.115
     1     2     364    agrl          178.312
     1     2     365    agrl          150.694
     1     2     366    agrl          164.661
     1     2     367    agrl          165.754
     1     2     368    agrl          178.307
     1     2     369    agrl          158.811
     1     2     370    agrl          166.779
     1     2     371    agrl          161.995
     1     2     372    agrl          187.628
     1     2     373    agrl          165.758
     1     2     374    agrl          127.238
     1     2     375    agrl          172.170
     1     2     376    agrl          184.045
     1     2     377    agrl          165.697
     1     2     396    agrl          186.465
     1     2     397    agrl          142.729
     1     2     398    agrl          185.243
     1     2     399    agrl          203.095
     1     2     400    agrl          181.691
     1     2     401    agrl          159.584
     1     2     402    agrl          178.300
     1     2     403    agrl          154.322
     1     2     404    agrl          186.500
     1     2     405    agrl          162.788
     1     2     406    agrl          151.589
     1     2     407    agrl          185.229
     1     2     408    agrl          170.073
     1     2     414    agrl          176.118
     1     2     415    agrl          164.665
