        jday         mon         day          yr name          type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           temp
          18           1          18        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          19           1          19        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          20           1          20        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          21           1          21        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          22           1          22        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          23           1          23        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          24           1          24        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          25           1          25        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          26           1          26        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          27           1          27        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
